[ 2017-10-16T00:50:52+08:00 ] /robots.txt | ERR: (ThinkException) 无法加载模块Robots.txt
[ 2017-10-16T01:57:57+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-10-16T01:57:57+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-10-16T01:57:57+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000280s ]
[ 2017-10-16T01:57:57+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000314s ]
[ 2017-10-16T01:57:57+08:00 ] / | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-10-16T01:57:57+08:00 ] / | SQL: SHOW COLUMNS FROM think_article as a [ RunTime:0.034303s ]
[ 2017-10-16T01:57:57+08:00 ] / | SQL: SHOW COLUMNS FROM `think_article_type` [ RunTime:0.034942s ]
[ 2017-10-16T01:57:57+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-16T01:57:57+08:00 ] / | SQL: SELECT * FROM `think_article_type` WHERE status=1 ORDER BY sort asc  [ RunTime:0.034507s ]
[ 2017-10-16T01:57:57+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-16T01:57:57+08:00 ] / | SQL: SELECT a.*,b.name FROM think_article as a LEFT JOIN think_article_type as b ON a.type = b.id WHERE ( a.type = '11' ) ORDER BY a.time desc LIMIT 1   [ RunTime:0.037453s ]
[ 2017-10-16T01:57:57+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-16T01:57:57+08:00 ] / | SQL: SELECT a.*,b.name FROM think_article as a LEFT JOIN think_article_type as b ON a.type = b.id WHERE ( a.type = '11' ) ORDER BY a.time desc LIMIT 1,8   [ RunTime:0.207785s ]
[ 2017-10-16T01:57:57+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-16T01:57:57+08:00 ] / | SQL: SELECT a.*,b.name FROM think_article as a LEFT JOIN think_article_type as b ON a.type = b.id WHERE ( a.type = '13' ) ORDER BY a.time desc LIMIT 1   [ RunTime:0.037403s ]
[ 2017-10-16T01:57:57+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-16T01:57:57+08:00 ] / | SQL: SELECT a.*,b.name FROM think_article as a LEFT JOIN think_article_type as b ON a.type = b.id WHERE ( a.type = '13' ) ORDER BY a.time desc LIMIT 1,8   [ RunTime:0.037274s ]
[ 2017-10-16T01:57:57+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-16T01:57:57+08:00 ] / | SQL: SELECT a.*,b.name FROM think_article as a LEFT JOIN think_article_type as b ON a.type = b.id WHERE ( a.type = '14' ) ORDER BY a.time desc LIMIT 1   [ RunTime:0.037196s ]
