[ 2017-10-03T00:00:18+08:00 ] /index.php/article/index/id/44 | INFO: Tag[ route_check ] --START--
[ 2017-10-03T00:00:18+08:00 ] /index.php/article/index/id/44 | INFO: Run CheckRoute Behavior [ RunTime:0.000632s ]
[ 2017-10-03T00:00:18+08:00 ] /index.php/article/index/id/44 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000736s ]
[ 2017-10-03T00:00:18+08:00 ] /index.php/article/index/id/44 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-10-03T00:00:18+08:00 ] /index.php/article/index/id/44 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-10-03T00:00:18+08:00 ] /index.php/article/index/id/44 | INFO: Tag[ app_begin ] --START--
[ 2017-10-03T00:00:18+08:00 ] /index.php/article/index/id/44 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000439s ]
[ 2017-10-03T00:00:18+08:00 ] /index.php/article/index/id/44 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000475s ]
[ 2017-10-03T00:00:18+08:00 ] /index.php/article/index/id/44 | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-10-03T00:00:18+08:00 ] /index.php/article/index/id/44 | SQL: SHOW COLUMNS FROM think_article as a [ RunTime:0.001451s ]
[ 2017-10-03T00:00:18+08:00 ] /index.php/article/index/id/44 | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.003623s ]
[ 2017-10-03T00:00:18+08:00 ] /index.php/article/index/id/44 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-03T00:00:18+08:00 ] /index.php/article/index/id/44 | SQL: SELECT * FROM `think_article` WHERE ( `id` = '44' ) LIMIT 1   [ RunTime:0.009773s ]
[ 2017-10-03T00:00:18+08:00 ] /index.php/article/index/id/44 | SQL: SHOW COLUMNS FROM `think_article_type` [ RunTime:0.001838s ]
[ 2017-10-03T00:00:18+08:00 ] /index.php/article/index/id/44 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-03T00:00:18+08:00 ] /index.php/article/index/id/44 | SQL: SELECT * FROM `think_article_type` WHERE ( `id` = '6' ) LIMIT 1   [ RunTime:0.002516s ]
[ 2017-10-03T00:00:18+08:00 ] /index.php/article/index/id/44 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-03T00:00:18+08:00 ] /index.php/article/index/id/44 | SQL: SELECT a.title,a.id FROM think_article as a LEFT JOIN think_article_type as b ON a.type = b.id WHERE b.id!=34 and b.id!=19 ORDER BY a.time desc LIMIT 12   [ RunTime:0.005016s ]
[ 2017-10-03T00:00:18+08:00 ] /index.php/article/index/id/44 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-03T00:00:18+08:00 ] /index.php/article/index/id/44 | SQL: SELECT a.title,a.id FROM think_article as a LEFT JOIN think_article_type as b ON a.type = b.id WHERE b.id=19 ORDER BY a.time desc LIMIT 12   [ RunTime:0.003823s ]
[ 2017-10-03T00:00:18+08:00 ] /index.php/article/index/id/44 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-03T00:00:18+08:00 ] /index.php/article/index/id/44 | SQL: SELECT a.title,a.id FROM think_article as a LEFT JOIN think_article_type as b ON a.type = b.id WHERE b.id=34 ORDER BY a.time desc LIMIT 12   [ RunTime:0.003434s ]
[ 2017-10-03T00:00:18+08:00 ] /index.php/article/index/id/44 | SQL: select * from think_article_type where status=1 order by rand() limit 9 [ RunTime:0.001716s ]
[ 2017-10-03T00:00:18+08:00 ] /index.php/article/index/id/44 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
