[ 2017-10-26T09:55:11+08:00 ] /article/index/id/129 | INFO: Tag[ route_check ] --START--
[ 2017-10-26T09:55:11+08:00 ] /article/index/id/129 | INFO: Run CheckRoute Behavior [ RunTime:0.000364s ]
[ 2017-10-26T09:55:11+08:00 ] /article/index/id/129 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000405s ]
[ 2017-10-26T09:55:11+08:00 ] /article/index/id/129 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-10-26T09:55:11+08:00 ] /article/index/id/129 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-10-26T09:55:11+08:00 ] /article/index/id/129 | INFO: Tag[ app_begin ] --START--
[ 2017-10-26T09:55:11+08:00 ] /article/index/id/129 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000250s ]
[ 2017-10-26T09:55:11+08:00 ] /article/index/id/129 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000274s ]
[ 2017-10-26T09:55:11+08:00 ] /article/index/id/129 | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-10-26T09:55:11+08:00 ] /article/index/id/129 | SQL: SHOW COLUMNS FROM think_article as a [ RunTime:0.029736s ]
[ 2017-10-26T09:55:11+08:00 ] /article/index/id/129 | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.030174s ]
[ 2017-10-26T09:55:11+08:00 ] /article/index/id/129 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-26T09:55:12+08:00 ] /article/index/id/129 | SQL: SELECT * FROM `think_article` WHERE ( `id` = '129' ) LIMIT 1   [ RunTime:0.029850s ]
[ 2017-10-26T09:55:12+08:00 ] /article/index/id/129 | SQL: SHOW COLUMNS FROM `think_article_type` [ RunTime:0.029956s ]
[ 2017-10-26T09:55:12+08:00 ] /article/index/id/129 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-26T09:55:12+08:00 ] /article/index/id/129 | SQL: SELECT * FROM `think_article_type` WHERE ( `id` = '22' ) LIMIT 1   [ RunTime:0.029702s ]
[ 2017-10-26T09:55:12+08:00 ] /article/index/id/129 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-26T09:55:12+08:00 ] /article/index/id/129 | SQL: SELECT a.title,a.id FROM think_article as a LEFT JOIN think_article_type as b ON a.type = b.id WHERE b.id!=34 and b.id!=19 ORDER BY a.time desc LIMIT 12   [ RunTime:0.029611s ]
[ 2017-10-26T09:55:12+08:00 ] /article/index/id/129 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-26T09:55:12+08:00 ] /article/index/id/129 | SQL: SELECT a.title,a.id FROM think_article as a LEFT JOIN think_article_type as b ON a.type = b.id WHERE b.id=19 ORDER BY a.time desc LIMIT 12   [ RunTime:0.029695s ]
[ 2017-10-26T09:55:12+08:00 ] /article/index/id/129 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-26T09:55:12+08:00 ] /article/index/id/129 | SQL: SELECT a.title,a.id FROM think_article as a LEFT JOIN think_article_type as b ON a.type = b.id WHERE b.id=34 ORDER BY a.time desc LIMIT 12   [ RunTime:0.029677s ]
[ 2017-10-26T09:55:12+08:00 ] /article/index/id/129 | SQL: select * from think_article_type where status=1 order by rand() limit 9 [ RunTime:0.030162s ]
[ 2017-10-26T09:55:12+08:00 ] /article/index/id/129 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-26T09:55:12+08:00 ] /article/index/id/129 | SQL: SELECT `images`,`id`,`title` FROM `think_article` WHERE type=16 LIMIT 8   [ RunTime:0.029688s ]
[ 2017-10-26T09:55:12+08:00 ] /article/index/id/129 | INFO: Tag[ view_template ] --START--
[ 2017-10-26T09:55:12+08:00 ] /article/index/id/129 | INFO: Run LocationTemplate Behavior [ RunTime:0.000335s ]
