[ 2017-10-29T00:15:16+08:00 ] /article/index/id/379 | INFO: Tag[ route_check ] --START--
[ 2017-10-29T00:15:16+08:00 ] /article/index/id/379 | INFO: Run CheckRoute Behavior [ RunTime:0.000359s ]
[ 2017-10-29T00:15:16+08:00 ] /article/index/id/379 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000411s ]
[ 2017-10-29T00:15:16+08:00 ] /article/index/id/379 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-10-29T00:15:16+08:00 ] /article/index/id/379 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-10-29T00:15:16+08:00 ] /article/index/id/379 | INFO: Tag[ app_begin ] --START--
[ 2017-10-29T00:15:16+08:00 ] /article/index/id/379 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000261s ]
[ 2017-10-29T00:15:16+08:00 ] /article/index/id/379 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000285s ]
[ 2017-10-29T00:15:16+08:00 ] /article/index/id/379 | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-10-29T00:15:16+08:00 ] /article/index/id/379 | SQL: SHOW COLUMNS FROM think_article as a [ RunTime:0.033458s ]
[ 2017-10-29T00:15:17+08:00 ] /article/index/id/379 | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.034401s ]
[ 2017-10-29T00:15:17+08:00 ] /article/index/id/379 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-29T00:15:17+08:00 ] /article/index/id/379 | SQL: SELECT * FROM `think_article` WHERE ( `id` = '379' ) LIMIT 1   [ RunTime:0.033566s ]
[ 2017-10-29T00:15:17+08:00 ] /article/index/id/379 | SQL: SHOW COLUMNS FROM `think_article_type` [ RunTime:0.033906s ]
[ 2017-10-29T00:15:17+08:00 ] /article/index/id/379 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-29T00:15:17+08:00 ] /article/index/id/379 | SQL: SELECT * FROM `think_article_type` WHERE ( `id` = '33' ) LIMIT 1   [ RunTime:0.033704s ]
