[ 2017-10-01T12:59:08+08:00 ] /index.php/article/index/id/44 | INFO: Tag[ route_check ] --START--
[ 2017-10-01T12:59:08+08:00 ] /index.php/article/index/id/44 | INFO: Run CheckRoute Behavior [ RunTime:0.000599s ]
[ 2017-10-01T12:59:08+08:00 ] /index.php/article/index/id/44 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000716s ]
[ 2017-10-01T12:59:08+08:00 ] /index.php/article/index/id/44 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-10-01T12:59:08+08:00 ] /index.php/article/index/id/44 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-10-01T12:59:08+08:00 ] /index.php/article/index/id/44 | INFO: Tag[ app_begin ] --START--
[ 2017-10-01T12:59:08+08:00 ] /index.php/article/index/id/44 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000413s ]
[ 2017-10-01T12:59:08+08:00 ] /index.php/article/index/id/44 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000449s ]
[ 2017-10-01T12:59:08+08:00 ] /index.php/article/index/id/44 | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-10-01T12:59:08+08:00 ] /index.php/article/index/id/44 | SQL: SHOW COLUMNS FROM think_article as a [ RunTime:0.001481s ]
[ 2017-10-01T12:59:08+08:00 ] /index.php/article/index/id/44 | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.001921s ]
[ 2017-10-01T12:59:08+08:00 ] /index.php/article/index/id/44 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-01T12:59:08+08:00 ] /index.php/article/index/id/44 | SQL: SELECT * FROM `think_article` WHERE ( `id` = '44' ) LIMIT 1   [ RunTime:0.009548s ]
[ 2017-10-01T12:59:08+08:00 ] /index.php/article/index/id/44 | SQL: SHOW COLUMNS FROM `think_article_type` [ RunTime:0.001802s ]
