[ 2017-10-25T00:10:29+08:00 ] /article/index/id/8 | INFO: Tag[ route_check ] --START--
[ 2017-10-25T00:10:29+08:00 ] /article/index/id/8 | INFO: Run CheckRoute Behavior [ RunTime:0.000361s ]
[ 2017-10-25T00:10:29+08:00 ] /article/index/id/8 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000409s ]
[ 2017-10-25T00:10:29+08:00 ] /article/index/id/8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-10-25T00:10:29+08:00 ] /article/index/id/8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-10-25T00:10:29+08:00 ] /article/index/id/8 | INFO: Tag[ app_begin ] --START--
[ 2017-10-25T00:10:29+08:00 ] /article/index/id/8 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000261s ]
[ 2017-10-25T00:10:29+08:00 ] /article/index/id/8 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000285s ]
[ 2017-10-25T00:10:29+08:00 ] /article/index/id/8 | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-10-25T00:10:30+08:00 ] /article/index/id/8 | SQL: SHOW COLUMNS FROM think_article as a [ RunTime:0.029744s ]
[ 2017-10-25T00:10:30+08:00 ] /article/index/id/8 | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.030381s ]
[ 2017-10-25T00:10:30+08:00 ] /article/index/id/8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-25T00:10:30+08:00 ] /article/index/id/8 | SQL: SELECT * FROM `think_article` WHERE ( `id` = '8' ) LIMIT 1   [ RunTime:0.029807s ]
[ 2017-10-25T00:10:30+08:00 ] /article/index/id/8 | SQL: SHOW COLUMNS FROM `think_article_type` [ RunTime:0.030091s ]
[ 2017-10-25T00:10:30+08:00 ] /article/index/id/8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-25T00:10:30+08:00 ] /article/index/id/8 | SQL: SELECT * FROM `think_article_type` WHERE ( `id` = '8' ) LIMIT 1   [ RunTime:0.029745s ]
[ 2017-10-25T00:10:30+08:00 ] /article/index/id/8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-25T00:10:30+08:00 ] /article/index/id/8 | SQL: SELECT a.title,a.id FROM think_article as a LEFT JOIN think_article_type as b ON a.type = b.id WHERE b.id!=34 and b.id!=19 ORDER BY a.time desc LIMIT 12   [ RunTime:0.034085s ]
[ 2017-10-25T00:10:30+08:00 ] /article/index/id/8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-25T00:10:30+08:00 ] /article/index/id/8 | SQL: SELECT a.title,a.id FROM think_article as a LEFT JOIN think_article_type as b ON a.type = b.id WHERE b.id=19 ORDER BY a.time desc LIMIT 12   [ RunTime:0.033228s ]
[ 2017-10-25T00:10:30+08:00 ] /article/index/id/8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
