[ 2017-10-20T00:12:34+08:00 ] /articleType/index/id/13 | INFO: Tag[ route_check ] --START--
[ 2017-10-20T00:12:34+08:00 ] /articleType/index/id/13 | INFO: Run CheckRoute Behavior [ RunTime:0.000413s ]
[ 2017-10-20T00:12:34+08:00 ] /articleType/index/id/13 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000466s ]
[ 2017-10-20T00:12:34+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-10-20T00:12:34+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-10-20T00:12:34+08:00 ] /articleType/index/id/13 | INFO: Tag[ app_begin ] --START--
[ 2017-10-20T00:12:34+08:00 ] /articleType/index/id/13 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000300s ]
[ 2017-10-20T00:12:34+08:00 ] /articleType/index/id/13 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000329s ]
[ 2017-10-20T00:12:34+08:00 ] /articleType/index/id/13 | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.029496s ]
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` WHERE ( `type` = '13' ) LIMIT 1   [ RunTime:0.031945s ]
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8] Use of undefined constant TIFAWEB_DSWJCMS - assumed 'TIFAWEB_DSWJCMS' Page.class.php 第 101 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | SQL: SELECT * FROM `think_article` WHERE ( `type` = '13' ) ORDER BY time desc LIMIT 0,10   [ RunTime:0.031877s ]
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | SQL: SHOW COLUMNS FROM `think_article_type` [ RunTime:0.029567s ]
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | SQL: SELECT * FROM `think_article_type` WHERE ( `id` = '13' ) LIMIT 1   [ RunTime:0.028960s ]
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | SQL: SELECT `id`,`images`,`title` FROM `think_article` ORDER BY hits desc,time desc LIMIT 5   [ RunTime:0.032605s ]
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | SQL: select * from think_article_type where status=1 order by rand() limit 9 [ RunTime:0.029181s ]
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | INFO: Tag[ view_template ] --START--
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | INFO: Run LocationTemplate Behavior [ RunTime:0.000350s ]
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000393s ]
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | INFO: Tag[ view_parse ] --START--
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 220 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 154 行.
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | INFO: Run ParseTemplate Behavior [ RunTime:0.007547s ]
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007573s ]
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | INFO: Tag[ view_filter ] --START--
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | INFO: Run ContentReplace Behavior [ RunTime:0.000250s ]
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | INFO: Run TokenBuild Behavior [ RunTime:0.000251s ]
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000122s ]
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | INFO: Run ShowRuntime Behavior [ RunTime:0.000235s ]
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000930s ]
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | INFO: Tag[ view_end ] --START--
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000216s ]
[ 2017-10-20T00:12:35+08:00 ] /articleType/index/id/13 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000240s ]
[ 2017-10-20T00:59:09+08:00 ] /robots.txt | ERR: (ThinkException) 无法加载模块Robots.txt
[ 2017-10-20T02:45:55+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-10-20T02:45:55+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-10-20T02:45:55+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000268s ]
[ 2017-10-20T02:45:55+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000301s ]
[ 2017-10-20T02:45:55+08:00 ] / | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-10-20T02:45:55+08:00 ] / | SQL: SHOW COLUMNS FROM think_article as a [ RunTime:0.033457s ]
[ 2017-10-20T02:45:55+08:00 ] / | SQL: SHOW COLUMNS FROM `think_article_type` [ RunTime:0.033907s ]
[ 2017-10-20T02:45:55+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-20T02:45:55+08:00 ] / | SQL: SELECT * FROM `think_article_type` WHERE status=1 ORDER BY sort asc  [ RunTime:0.033676s ]
[ 2017-10-20T02:45:55+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-20T02:45:55+08:00 ] / | SQL: SELECT a.*,b.name FROM think_article as a LEFT JOIN think_article_type as b ON a.type = b.id WHERE ( a.type = '11' ) ORDER BY a.time desc LIMIT 1   [ RunTime:0.037064s ]
[ 2017-10-20T02:45:55+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-20T02:45:56+08:00 ] / | SQL: SELECT a.*,b.name FROM think_article as a LEFT JOIN think_article_type as b ON a.type = b.id WHERE ( a.type = '11' ) ORDER BY a.time desc LIMIT 1,8   [ RunTime:0.203406s ]
[ 2017-10-20T02:45:56+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-20T02:45:56+08:00 ] / | SQL: SELECT a.*,b.name FROM think_article as a LEFT JOIN think_article_type as b ON a.type = b.id WHERE ( a.type = '13' ) ORDER BY a.time desc LIMIT 1   [ RunTime:0.036743s ]
[ 2017-10-20T02:45:56+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-20T02:45:56+08:00 ] / | SQL: SELECT a.*,b.name FROM think_article as a LEFT JOIN think_article_type as b ON a.type = b.id WHERE ( a.type = '13' ) ORDER BY a.time desc LIMIT 1,8   [ RunTime:0.037147s ]
[ 2017-10-20T02:45:56+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
