[ 2017-10-17T14:08:43+08:00 ] /article/index/id/371 | INFO: Tag[ route_check ] --START--
[ 2017-10-17T14:08:43+08:00 ] /article/index/id/371 | INFO: Run CheckRoute Behavior [ RunTime:0.000359s ]
[ 2017-10-17T14:08:43+08:00 ] /article/index/id/371 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000407s ]
[ 2017-10-17T14:08:43+08:00 ] /article/index/id/371 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-10-17T14:08:43+08:00 ] /article/index/id/371 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-10-17T14:08:43+08:00 ] /article/index/id/371 | INFO: Tag[ app_begin ] --START--
[ 2017-10-17T14:08:43+08:00 ] /article/index/id/371 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000277s ]
[ 2017-10-17T14:08:43+08:00 ] /article/index/id/371 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000300s ]
[ 2017-10-17T14:08:43+08:00 ] /article/index/id/371 | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-10-17T14:08:43+08:00 ] /article/index/id/371 | SQL: SHOW COLUMNS FROM think_article as a [ RunTime:0.033425s ]
[ 2017-10-17T14:08:43+08:00 ] /article/index/id/371 | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.033834s ]
[ 2017-10-17T14:08:43+08:00 ] /article/index/id/371 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-17T14:08:43+08:00 ] /article/index/id/371 | SQL: SELECT * FROM `think_article` WHERE ( `id` = '371' ) LIMIT 1   [ RunTime:0.033663s ]
[ 2017-10-17T14:08:44+08:00 ] /article/index/id/371 | SQL: SHOW COLUMNS FROM `think_article_type` [ RunTime:0.033775s ]
[ 2017-10-17T14:08:44+08:00 ] /article/index/id/371 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-17T14:08:44+08:00 ] /article/index/id/371 | SQL: SELECT * FROM `think_article_type` WHERE ( `id` = '33' ) LIMIT 1   [ RunTime:0.033374s ]
[ 2017-10-17T14:08:44+08:00 ] /article/index/id/371 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-17T14:08:44+08:00 ] /article/index/id/371 | SQL: SELECT a.title,a.id FROM think_article as a LEFT JOIN think_article_type as b ON a.type = b.id WHERE b.id!=34 and b.id!=19 ORDER BY a.time desc LIMIT 12   [ RunTime:0.033440s ]
[ 2017-10-17T14:08:44+08:00 ] /article/index/id/371 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-17T14:08:44+08:00 ] /article/index/id/371 | SQL: SELECT a.title,a.id FROM think_article as a LEFT JOIN think_article_type as b ON a.type = b.id WHERE b.id=19 ORDER BY a.time desc LIMIT 12   [ RunTime:0.033398s ]
[ 2017-10-17T14:08:44+08:00 ] /article/index/id/371 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-17T14:08:44+08:00 ] /article/index/id/371 | SQL: SELECT a.title,a.id FROM think_article as a LEFT JOIN think_article_type as b ON a.type = b.id WHERE b.id=34 ORDER BY a.time desc LIMIT 12   [ RunTime:0.033380s ]
[ 2017-10-17T14:08:44+08:00 ] /article/index/id/371 | SQL: select * from think_article_type where status=1 order by rand() limit 9 [ RunTime:0.033714s ]
[ 2017-10-17T14:08:44+08:00 ] /article/index/id/371 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-17T14:08:44+08:00 ] /article/index/id/371 | SQL: SELECT `images`,`id`,`title` FROM `think_article` WHERE type=16 LIMIT 8   [ RunTime:0.033403s ]
