[ 2017-10-26T00:20:36+08:00 ] /article/index/id/337 | INFO: Tag[ route_check ] --START--
[ 2017-10-26T00:20:36+08:00 ] /article/index/id/337 | INFO: Run CheckRoute Behavior [ RunTime:0.000363s ]
[ 2017-10-26T00:20:36+08:00 ] /article/index/id/337 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000409s ]
[ 2017-10-26T00:20:36+08:00 ] /article/index/id/337 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-10-26T00:20:36+08:00 ] /article/index/id/337 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-10-26T00:20:36+08:00 ] /article/index/id/337 | INFO: Tag[ app_begin ] --START--
[ 2017-10-26T00:20:36+08:00 ] /article/index/id/337 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000266s ]
[ 2017-10-26T00:20:36+08:00 ] /article/index/id/337 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000290s ]
[ 2017-10-26T00:20:36+08:00 ] /article/index/id/337 | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-10-26T00:20:37+08:00 ] /article/index/id/337 | SQL: SHOW COLUMNS FROM think_article as a [ RunTime:0.032434s ]
[ 2017-10-26T00:20:37+08:00 ] /article/index/id/337 | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.034652s ]
[ 2017-10-26T00:20:37+08:00 ] /article/index/id/337 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-26T00:20:37+08:00 ] /article/index/id/337 | SQL: SELECT * FROM `think_article` WHERE ( `id` = '337' ) LIMIT 1   [ RunTime:0.064945s ]
[ 2017-10-26T00:20:37+08:00 ] /article/index/id/337 | SQL: SHOW COLUMNS FROM `think_article_type` [ RunTime:0.032877s ]
[ 2017-10-26T00:20:37+08:00 ] /article/index/id/337 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-26T00:20:37+08:00 ] /article/index/id/337 | SQL: SELECT * FROM `think_article_type` WHERE ( `id` = '17' ) LIMIT 1   [ RunTime:0.032503s ]
