[ 2017-10-23T15:35:48+08:00 ] /article/index/id/19 | INFO: Tag[ route_check ] --START--
[ 2017-10-23T15:35:48+08:00 ] /article/index/id/19 | INFO: Run CheckRoute Behavior [ RunTime:0.000371s ]
[ 2017-10-23T15:35:48+08:00 ] /article/index/id/19 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000419s ]
[ 2017-10-23T15:35:48+08:00 ] /article/index/id/19 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-10-23T15:35:48+08:00 ] /article/index/id/19 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-10-23T15:35:48+08:00 ] /article/index/id/19 | INFO: Tag[ app_begin ] --START--
[ 2017-10-23T15:35:48+08:00 ] /article/index/id/19 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000249s ]
[ 2017-10-23T15:35:48+08:00 ] /article/index/id/19 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000273s ]
[ 2017-10-23T15:35:48+08:00 ] /article/index/id/19 | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-10-23T15:35:48+08:00 ] /article/index/id/19 | SQL: SHOW COLUMNS FROM think_article as a [ RunTime:0.029058s ]
[ 2017-10-23T15:35:48+08:00 ] /article/index/id/19 | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.029374s ]
[ 2017-10-23T15:35:48+08:00 ] /article/index/id/19 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-23T15:35:48+08:00 ] /article/index/id/19 | SQL: SELECT * FROM `think_article` WHERE ( `id` = '19' ) LIMIT 1   [ RunTime:0.058166s ]
[ 2017-10-23T15:35:48+08:00 ] /article/index/id/19 | SQL: SHOW COLUMNS FROM `think_article_type` [ RunTime:0.029644s ]
[ 2017-10-23T15:35:48+08:00 ] /article/index/id/19 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-23T15:35:48+08:00 ] /article/index/id/19 | SQL: SELECT * FROM `think_article_type` WHERE ( `id` = '2' ) LIMIT 1   [ RunTime:0.029216s ]
[ 2017-10-23T15:35:48+08:00 ] /article/index/id/19 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-23T15:35:48+08:00 ] /article/index/id/19 | SQL: SELECT a.title,a.id FROM think_article as a LEFT JOIN think_article_type as b ON a.type = b.id WHERE b.id!=34 and b.id!=19 ORDER BY a.time desc LIMIT 12   [ RunTime:0.029224s ]
[ 2017-10-23T15:35:48+08:00 ] /article/index/id/19 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-23T15:35:48+08:00 ] /article/index/id/19 | SQL: SELECT a.title,a.id FROM think_article as a LEFT JOIN think_article_type as b ON a.type = b.id WHERE b.id=19 ORDER BY a.time desc LIMIT 12   [ RunTime:0.029164s ]
[ 2017-10-23T15:35:48+08:00 ] /article/index/id/19 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-23T15:35:48+08:00 ] /article/index/id/19 | SQL: SELECT a.title,a.id FROM think_article as a LEFT JOIN think_article_type as b ON a.type = b.id WHERE b.id=34 ORDER BY a.time desc LIMIT 12   [ RunTime:0.029091s ]
[ 2017-10-23T15:35:48+08:00 ] /article/index/id/19 | SQL: select * from think_article_type where status=1 order by rand() limit 9 [ RunTime:0.029420s ]
[ 2017-10-23T15:35:48+08:00 ] /article/index/id/19 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-23T15:35:48+08:00 ] /article/index/id/19 | SQL: SELECT `images`,`id`,`title` FROM `think_article` WHERE type=16 LIMIT 8   [ RunTime:0.029015s ]
[ 2017-10-23T15:35:48+08:00 ] /article/index/id/19 | INFO: Tag[ view_template ] --START--
[ 2017-10-23T15:35:48+08:00 ] /article/index/id/19 | INFO: Run LocationTemplate Behavior [ RunTime:0.000346s ]
[ 2017-10-23T15:35:48+08:00 ] /article/index/id/19 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000382s ]
[ 2017-10-23T15:35:48+08:00 ] /article/index/id/19 | INFO: Tag[ view_parse ] --START--
[ 2017-10-23T15:35:48+08:00 ] /article/index/id/19 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-10-23T15:35:48+08:00 ] /article/index/id/19 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-23T15:35:48+08:00 ] /article/index/id/19 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-23T15:35:48+08:00 ] /article/index/id/19 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-23T15:35:48+08:00 ] /article/index/id/19 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-23T15:35:48+08:00 ] /article/index/id/19 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-23T15:35:48+08:00 ] /article/index/id/19 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-23T15:35:48+08:00 ] /article/index/id/19 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-23T15:35:48+08:00 ] /article/index/id/19 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
