[ 2017-09-22T10:25:59+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT fid as id,fname as text,fparentid as parentid,`fremark`,`fsort`,`fstyle`,`furl` FROM `think_pms_functions` WHERE ( `fparentid` = '10156' ) ORDER BY fsort  [ RunTime:0.040002s ]
[ 2017-09-22T10:25:59+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:25:59+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT fid as id,fname as text,fparentid as parentid,`fremark`,`fsort`,`fstyle`,`furl` FROM `think_pms_functions` WHERE ( `fparentid` = '10140' ) ORDER BY fsort  [ RunTime:0.040003s ]
[ 2017-09-22T10:25:59+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:25:59+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT COUNT(*) AS tp_count FROM `think_pms_functions` WHERE ( `fparentid` = '10211' ) ORDER BY fsort LIMIT 1   [ RunTime:0.040002s ]
[ 2017-09-22T10:25:59+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:25:59+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT fid as id,fname as text,fparentid as parentid,`fremark`,`fsort`,`fstyle`,`furl` FROM `think_pms_functions` WHERE ( `fparentid` = '10211' ) ORDER BY fsort  [ RunTime:0.040002s ]
[ 2017-09-22T10:25:59+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:25:59+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT fid as id,fname as text,fparentid as parentid,`fremark`,`fsort`,`fstyle`,`furl` FROM `think_pms_functions` WHERE ( `fparentid` = '10212' ) ORDER BY fsort  [ RunTime:0.041003s ]
[ 2017-09-22T10:25:59+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:25:59+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT fid as id,fname as text,fparentid as parentid,`fremark`,`fsort`,`fstyle`,`furl` FROM `think_pms_functions` WHERE ( `fparentid` = '10213' ) ORDER BY fsort  [ RunTime:0.041002s ]
[ 2017-09-22T10:25:59+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:25:59+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT fid as id,fname as text,fparentid as parentid,`fremark`,`fsort`,`fstyle`,`furl` FROM `think_pms_functions` WHERE ( `fparentid` = '10214' ) ORDER BY fsort  [ RunTime:0.040002s ]
[ 2017-09-22T10:25:59+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:25:59+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT fid as id,fname as text,fparentid as parentid,`fremark`,`fsort`,`fstyle`,`furl` FROM `think_pms_functions` WHERE ( `fparentid` = '10215' ) ORDER BY fsort  [ RunTime:0.040003s ]
[ 2017-09-22T10:25:59+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:25:59+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT fid as id,fname as text,fparentid as parentid,`fremark`,`fsort`,`fstyle`,`furl` FROM `think_pms_functions` WHERE ( `fparentid` = '10216' ) ORDER BY fsort  [ RunTime:0.040002s ]
[ 2017-09-22T10:25:59+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:25:59+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT fid as id,fname as text,fparentid as parentid,`fremark`,`fsort`,`fstyle`,`furl` FROM `think_pms_functions` WHERE ( `fparentid` = '10217' ) ORDER BY fsort  [ RunTime:0.040002s ]
[ 2017-09-22T10:25:59+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:25:59+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT fid as id,fname as text,fparentid as parentid,`fremark`,`fsort`,`fstyle`,`furl` FROM `think_pms_functions` WHERE ( `fparentid` = '10218' ) ORDER BY fsort  [ RunTime:0.039003s ]
[ 2017-09-22T10:25:59+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:25:59+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT fid as id,fname as text,fparentid as parentid,`fremark`,`fsort`,`fstyle`,`furl` FROM `think_pms_functions` WHERE ( `fparentid` = '10219' ) ORDER BY fsort  [ RunTime:0.041002s ]
[ 2017-09-22T10:25:59+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:25:59+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT fid as id,fname as text,fparentid as parentid,`fremark`,`fsort`,`fstyle`,`furl` FROM `think_pms_functions` WHERE ( `fparentid` = '10220' ) ORDER BY fsort  [ RunTime:0.040002s ]
[ 2017-09-22T10:25:59+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:25:59+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT fid as id,fname as text,fparentid as parentid,`fremark`,`fsort`,`fstyle`,`furl` FROM `think_pms_functions` WHERE ( `fparentid` = '10221' ) ORDER BY fsort  [ RunTime:0.040002s ]
[ 2017-09-22T10:25:59+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:25:59+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT fid as id,fname as text,fparentid as parentid,`fremark`,`fsort`,`fstyle`,`furl` FROM `think_pms_functions` WHERE ( `fparentid` = '10222' ) ORDER BY fsort  [ RunTime:0.039003s ]
[ 2017-09-22T10:25:59+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:25:59+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT fid as id,fname as text,fparentid as parentid,`fremark`,`fsort`,`fstyle`,`furl` FROM `think_pms_functions` WHERE ( `fparentid` = '10223' ) ORDER BY fsort  [ RunTime:0.041002s ]
[ 2017-09-22T10:25:59+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:25:59+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT fid as id,fname as text,fparentid as parentid,`fremark`,`fsort`,`fstyle`,`furl` FROM `think_pms_functions` WHERE ( `fparentid` = '10224' ) ORDER BY fsort  [ RunTime:0.040002s ]
[ 2017-09-22T10:25:59+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:25:59+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT fid as id,fname as text,fparentid as parentid,`fremark`,`fsort`,`fstyle`,`furl` FROM `think_pms_functions` WHERE ( `fparentid` = '10225' ) ORDER BY fsort  [ RunTime:0.041003s ]
[ 2017-09-22T10:25:59+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:26:00+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT fid as id,fname as text,fparentid as parentid,`fremark`,`fsort`,`fstyle`,`furl` FROM `think_pms_functions` WHERE ( `fparentid` = '10226' ) ORDER BY fsort  [ RunTime:0.040002s ]
[ 2017-09-22T10:26:00+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:26:00+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT fid as id,fname as text,fparentid as parentid,`fremark`,`fsort`,`fstyle`,`furl` FROM `think_pms_functions` WHERE ( `fparentid` = '10227' ) ORDER BY fsort  [ RunTime:0.040002s ]
[ 2017-09-22T10:26:00+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
